,Reg3b,Reg3g,Apoa1,Guca2b,Zg16,Rpl37,Rpl37a,Oat,Rps28,Rps21
77,1.3107293,1.3530875,0.92923635,0.5265374,0.6434029,3.5422125,3.7647216,2.8123908,2.3473408,2.288654
78,1.3125103,1.3543552,0.92983097,0.5270581,0.6437462,3.5420775,3.7645824,2.8122597,2.3471751,2.2884834
79,1.3142917,1.3556229,0.93042535,0.52757895,0.6440896,3.541943,3.764443,2.8121283,2.3470092,2.2883127
80,1.3160732,1.3568907,0.9310197,0.5280997,0.64443266,3.5418086,3.7643049,2.811997,2.3468435,2.288142
81,1.3178544,1.3581582,0.9316144,0.52862054,0.6447759,3.5416746,3.7641654,2.8118656,2.3466775,2.2879713
82,1.3196356,1.359426,0.93220896,0.52914137,0.64511925,3.5415392,3.7640254,2.8117342,2.3465114,2.2878008
83,1.3214171,1.3606939,0.93280363,0.5296621,0.6454627,3.5414052,3.7638862,2.811603,2.3463457,2.2876303
84,1.323199,1.3619612,0.9333983,0.53018296,0.64580595,3.5412703,3.7637467,2.811472,2.34618,2.2874594
85,1.32498,1.3632288,0.9339927,0.53070366,0.64614916,3.5411358,3.7636087,2.8113403,2.346014,2.2872887
86,1.3267615,1.3644964,0.9345872,0.53122437,0.6464923,3.5410008,3.763469,2.811209,2.345848,2.287118
87,1.3285432,1.3657644,0.93518174,0.5317452,0.6468356,3.5408664,3.7633302,2.8110774,2.3456821,2.2869468
88,1.3303246,1.3670322,0.9357763,0.532266,0.6471789,3.5407314,3.7631915,2.810946,2.345516,2.2867765
89,1.3321061,1.3682998,0.93637085,0.5327869,0.6475222,3.540597,3.7630522,2.8108149,2.3453503,2.2866058
90,1.3338869,1.3695672,0.9369652,0.5333077,0.6478655,3.540463,3.762913,2.8106833,2.3451843,2.2864351
91,1.3356686,1.3708351,0.93755984,0.5338284,0.6482087,3.540328,3.7627738,2.810552,2.3450184,2.2862644
92,1.33745,1.372103,0.9381544,0.5343492,0.64855206,3.5401936,3.7626345,2.8104208,2.344853,2.2860937
93,1.3392315,1.3733706,0.9387489,0.5348701,0.6488953,3.540059,3.7624967,2.8102899,2.3446872,2.285923
94,1.341013,1.3746381,0.9393434,0.53539085,0.64923865,3.5399246,3.7623563,2.8101583,2.3445208,2.2857523
95,1.3427944,1.3759059,0.93993795,0.5359116,0.6495818,3.5397892,3.7622178,2.8100271,2.344355,2.2855816
96,1.3445759,1.3771734,0.9405326,0.53643227,0.64992523,3.5396552,3.7620785,2.8098955,2.3441894,2.2854111
97,1.3463571,1.3784411,0.941127,0.5369531,0.65026844,3.5395203,3.7619393,2.8097641,2.344023,2.2852402
98,1.3481388,1.379709,0.94172174,0.537474,0.6506118,3.5393858,3.7618005,2.8096328,2.3438575,2.28507
99,1.3499191,1.3809763,0.94231606,0.537995,0.6509546,3.5392509,3.7616608,2.8095014,2.3436913,2.2848992
100,1.3516998,1.3822436,0.94291055,0.538516,0.65129757,3.5391164,3.7615216,2.8093705,2.3435252,2.284728
101,1.3534803,1.383511,0.94350475,0.53903687,0.65164053,3.5389814,3.761382,2.8092387,2.343359,2.2845576
102,1.3552611,1.3847786,0.9440993,0.5395579,0.6519834,3.5388465,3.7612429,2.8091073,2.3431935,2.2843874
103,1.3570435,1.3860484,0.9446885,0.54007685,0.6523281,3.5387096,3.7611022,2.8089747,2.3430252,2.2842155
104,1.3588243,1.3873183,0.9452738,0.5405936,0.65267146,3.5385718,3.760956,2.808836,2.3428547,2.2840455
105,1.3606045,1.3885883,0.94585913,0.5411103,0.6530152,3.5384336,3.760812,2.8086982,2.3426857,2.283876
106,1.362385,1.3898584,0.9464443,0.54162717,0.6533587,3.5382953,3.7606666,2.8085594,2.3425155,2.283706
107,1.3641663,1.3911281,0.9470299,0.5421438,0.6537022,3.5381565,3.7605214,2.8084216,2.3423457,2.2835362
108,1.3659468,1.3923979,0.9476152,0.54266065,0.6540459,3.5380187,3.7603762,2.8082838,2.3421762,2.283366
109,1.3677273,1.3936678,0.9482005,0.5431773,0.65438944,3.53788,3.7602315,2.808146,2.3420057,2.2831964
110,1.369508,1.3949378,0.9487857,0.54369396,0.6547329,3.5377421,3.7600858,2.808008,2.341836,2.2830265
111,1.3712888,1.3962076,0.94937116,0.5442107,0.65507644,3.5376034,3.7599418,2.8078694,2.3416662,2.2828567
112,1.3730695,1.3974774,0.94995636,0.54472744,0.65541995,3.5374656,3.759796,2.8077316,2.3414965,2.2826867
113,1.3748505,1.3987474,0.95054156,0.5452442,0.6557637,3.5373263,3.7596512,2.8075936,2.3413267,2.2825167
114,1.3766313,1.4000174,0.9511273,0.5457611,0.6561072,3.537188,3.759506,2.8074555,2.3411565,2.2823467
115,1.3784118,1.4012871,0.9517125,0.54627776,0.6564508,3.5370507,3.7593606,2.807317,2.340987,2.2821772
116,1.380192,1.4025574,0.95230037,0.5467948,0.6567952,3.5369124,3.7592168,2.8071795,2.3408175,2.2820077
117,1.3819718,1.4038285,0.9528912,0.54731214,0.6571408,3.536776,3.7590735,2.8070414,2.3406491,2.2818391
118,1.3837516,1.4050996,0.9534822,0.5478296,0.65748644,3.5366397,3.7589304,2.8069038,2.3404808,2.2816713
119,1.3855186,1.4063599,0.9540705,0.5483446,0.6578312,3.5365014,3.758786,2.8067648,2.340312,2.281503
120,1.3872659,1.4076025,0.95465505,0.5488559,0.6581746,3.5363603,3.7586384,2.8066251,2.3401427,2.2813349
121,1.3890133,1.4088454,0.95523924,0.549367,0.6585177,3.5362196,3.758492,2.8064845,2.3399742,2.281166
122,1.39076,1.4100883,0.9558238,0.54987824,0.6588611,3.536079,3.7583447,2.8063436,2.339805,2.2809982
123,1.392509,1.4113334,0.9564094,0.5503905,0.65920526,3.5359387,3.758197,2.8062027,2.339635,2.280831
124,1.3942587,1.4125793,0.9569953,0.55090296,0.6595497,3.5357985,3.7580507,2.8060617,2.3394647,2.280664
125,1.3960085,1.4138252,0.9575811,0.55141544,0.65989405,3.5356593,3.7579033,2.8059208,2.3392944,2.2804968
126,1.397758,1.4150708,0.9581669,0.5519277,0.6602382,3.5355191,3.7577565,2.8057804,2.3391242,2.28033
127,1.3995078,1.4163169,0.95875275,0.5524402,0.6605827,3.535379,3.7576098,2.8056397,2.338954,2.2801626
128,1.401257,1.4175624,0.95933867,0.5529525,0.6609271,3.5352387,3.757463,2.8054986,2.3387842,2.2799957
129,1.4030039,1.4188076,0.95992416,0.55346286,0.6612676,3.5350995,3.7573168,2.80536,2.3386157,2.2798297
130,1.4047508,1.4200532,0.9605094,0.55397284,0.66160727,3.5349612,3.7571714,2.8052216,2.3384478,2.2796643
131,1.4064975,1.4212981,0.96109456,0.55448264,0.6619469,3.5348225,3.7570257,2.8050823,2.3382795,2.279498
132,1.4082444,1.4225435,0.96167976,0.5549925,0.66228664,3.5346832,3.75688,2.8049433,2.3381116,2.2793326
133,1.4099913,1.423789,0.9622651,0.5555024,0.6626262,3.534544,3.756735,2.8048055,2.3379436,2.279167
134,1.4117379,1.4250342,0.9628504,0.55601233,0.662966,3.5344057,3.7565897,2.804666,2.3377762,2.2790012
135,1.4134846,1.4262798,0.9634355,0.55652213,0.6633057,3.5342665,3.7564437,2.8045282,2.3376076,2.2788355
136,1.4152312,1.4275248,0.96402097,0.557032,0.6636452,3.5341287,3.7562978,2.8043895,2.33744,2.2786696
137,1.4169779,1.4287702,0.9646061,0.5575418,0.6639849,3.533989,3.7561526,2.8042507,2.3372712,2.2785037
138,1.418725,1.4300156,0.96519136,0.55805176,0.66432476,3.5338507,3.756007,2.8041115,2.3371034,2.278338
139,1.4204721,1.4312674,0.9657747,0.55856,0.66466534,3.533709,3.7558596,2.8039734,2.3369331,2.2781708
140,1.4222202,1.4325202,0.9663578,0.55906785,0.665006,3.533568,3.7557101,2.8038354,2.3367627,2.278004
141,1.4239678,1.4337728,0.9669402,0.55957556,0.66534674,3.5334258,3.755562,2.803697,2.3365915,2.2778368
142,1.4257157,1.4350255,0.9675237,0.56008357,0.66568774,3.5332847,3.755413,2.8035593,2.3364208,2.27767
143,1.4274633,1.4362779,0.9681061,0.56059134,0.6660284,3.533143,3.755265,2.803421,2.3362498,2.2775023
144,1.4292111,1.4375308,0.9686894,0.56109923,0.666369,3.533002,3.7551162,2.8032827,2.3360791,2.2773354
145,1.430959,1.4387836,0.9692721,0.56160724,0.6667099,3.5328598,3.754967,2.8031437,2.3359082,2.2771685
146,1.4327068,1.4400362,0.96985495,0.5621151,0.66705066,3.5327182,3.754819,2.8030062,2.3357375,2.277001
147,1.434454,1.4412885,0.97043794,0.5626229,0.66739154,3.5325766,3.75467,2.8028681,2.3355668,2.2768342
148,1.4362023,1.4425416,0.9710209,0.56313086,0.66773224,3.5324354,3.754521,2.80273,2.335396,2.2766669
149,1.4379501,1.4437943,0.97160393,0.56363875,0.668073,3.5322943,3.7543724,2.8025918,2.3352253,2.2764995
150,1.4396975,1.4450469,0.97218686,0.56414664,0.6684139,3.5321522,3.7542245,2.8024535,2.3350546,2.2763326
151,1.4414454,1.4462993,0.97276956,0.56465435,0.6687546,3.532011,3.7540758,2.8023152,2.334884,2.2761652
152,1.4431944,1.4475507,0.9733531,0.56516135,0.6690964,3.5318713,3.7539294,2.8021777,2.3347137,2.2759986
153,1.4449441,1.4488008,0.97393644,0.56566787,0.66943854,3.5317326,3.7537835,2.8020403,2.3345451,2.2758317
154,1.4466939,1.4500518,0.97452027,0.56617457,0.66978073,3.5315943,3.7536376,2.801903,2.3343759,2.2756643
155,1.4484434,1.451302,0.9751035,0.566681,0.6701228,3.5314555,3.7534916,2.8017657,2.334207,2.2754972
156,1.4501925,1.4525523,0.9756869,0.56718755,0.6704648,3.5313168,3.7533462,2.8016284,2.334038,2.2753303
157,1.4519424,1.4538031,0.9762705,0.5676943,0.670807,3.531178,3.7532003,2.8014908,2.3338685,2.2751632
158,1.4536922,1.4550536,0.97685426,0.5682008,0.67114913,3.5310392,3.7530544,2.8013532,2.3336992,2.274996
159,1.4554415,1.4563041,0.97743744,0.56870735,0.6714912,3.5309005,3.752908,2.8012161,2.3335304,2.2748291
160,1.4571912,1.4575548,0.97802126,0.569214,0.67183334,3.5307622,3.7527628,2.8010786,2.3333611,2.274662
161,1.458941,1.4588054,0.9786046,0.5697206,0.67217565,3.530624,3.7526166,2.800941,2.333192,2.2744946
162,1.46069,1.4600558,0.97918814,0.5702271,0.6725175,3.5304852,3.7524712,2.8008041,2.3330233,2.274328
163,1.46244,1.4613066,0.9797718,0.5707337,0.6728597,3.5303469,3.7523258,2.8006656,2.3328543,2.2741609
164,1.4641893,1.4625566,0.98035514,0.5712402,0.6732018,3.5302076,3.752179,2.800529,2.3326845,2.273994
165,1.4659393,1.4638073,0.9809386,0.5717468,0.67354393,3.5300698,3.752033,2.8003914,2.332516,2.273827
166,1.467689,1.4650578,0.98152244,0.5722534,0.6738861,3.5299315,3.7518876,2.8002539,2.332347,2.2736597
167,1.4694378,1.4663081,0.9821057,0.5727599,0.6742281,3.5297923,3.7517421,2.8001165,2.3321774,2.273493
168,1.4711881,1.4675586,0.9826892,0.57326645,0.67457014,3.529654,3.7515962,2.799979,2.3320084,2.273326
169,1.4729376,1.4688094,0.98327285,0.5737732,0.67491233,3.5295153,3.7514505,2.7998414,2.3318393,2.2731586
170,1.4746873,1.4700598,0.9838565,0.5742798,0.6752545,3.529376,3.7513046,2.7997043,2.3316705,2.2729912
171,1.4764371,1.4713106,0.9844398,0.5747863,0.67559665,3.5292382,3.7511587,2.7995665,2.3315008,2.272825
172,1.4781861,1.4725606,0.9850232,0.57529265,0.6759386,3.529099,3.7510126,2.7994294,2.3313322,2.2726576
173,1.4799359,1.4738111,0.98560697,0.5757994,0.67628086,3.5289602,3.7508674,2.799292,2.331163,2.2724907
174,1.4816854,1.4750617,0.98619026,0.57630587,0.6766229,3.5288224,3.7507217,2.7991548,2.330994,2.2723234
175,1.4834354,1.4763125,0.9867738,0.5768125,0.67696506,3.5286837,3.7505758,2.799017,2.3308249,2.2721562
176,1.4851844,1.4775628,0.98735744,0.5773191,0.67730737,3.528545,3.7504296,2.7988796,2.3306556,2.2719893
177,1.4869342,1.4788134,0.98794085,0.5778256,0.67764944,3.5284066,3.750284,2.7987425,2.3304865,2.2718225
178,1.4886837,1.4800639,0.98852426,0.5783322,0.67799145,3.5282683,3.7501385,2.7986047,2.330318,2.271655
179,1.490433,1.4813144,0.989108,0.5788388,0.67833346,3.528129,3.7499921,2.7984676,2.3301487,2.2714882
180,1.4921827,1.4825652,0.98969126,0.57934535,0.6786757,3.5279899,3.7498467,2.79833,2.3299794,2.2713213
181,1.493933,1.4838156,0.9902752,0.57985204,0.67901784,3.527852,3.7497008,2.7981927,2.3298104,2.2711542
182,1.4956672,1.4850559,0.99085355,0.5803558,0.67935735,3.5277123,3.7495549,2.7980547,2.3296418,2.2709877
183,1.4973927,1.4862903,0.9914289,0.58085823,0.67969537,3.5275736,3.7494085,2.7979164,2.3294735,2.2708218
184,1.4991186,1.4875247,0.9920043,0.5813604,0.6800335,3.5274339,3.7492626,2.7977781,2.3293056,2.270656
185,1.500844,1.4887594,0.9925799,0.58186275,0.6803714,3.5272946,3.7491162,2.79764,2.329138,2.2704904
186,1.5025697,1.4899935,0.9931554,0.582365,0.68070936,3.5271554,3.7489707,2.797502,2.32897,2.270325
187,1.5042949,1.4912275,0.9937306,0.5828671,0.68104756,3.5270162,3.7488244,2.7973635,2.3288016,2.2701585
188,1.5060203,1.4924616,0.9943062,0.5833694,0.6813856,3.5268764,3.7486782,2.7972252,2.3286338,2.2699928
189,1.5077467,1.4936965,0.9948817,0.58387166,0.6817234,3.5267377,3.748533,2.7970867,2.3284657,2.2698271
190,1.5094719,1.4949309,0.9954571,0.5843741,0.68206155,3.5265975,3.7483861,2.796949,2.3282974,2.2696612
191,1.5111978,1.4961648,0.9960329,0.5848762,0.6823997,3.5264583,3.7482407,2.7968106,2.3281293,2.269495
192,1.512923,1.4973992,0.99660784,0.5853784,0.68273747,3.5263186,3.7480943,2.7966728,2.3279617,2.2693295
193,1.5146484,1.4986335,0.9971835,0.58588076,0.6830755,3.5261798,3.747948,2.796534,2.3277934,2.2691638
194,1.5163741,1.4998678,0.9977588,0.586383,0.68341357,3.52604,3.7478023,2.7963963,2.327625,2.268998
195,1.5181,1.5011022,0.9983346,0.58688533,0.6837517,3.5259013,3.747656,2.796258,2.3274574,2.268832
196,1.5198252,1.5023365,0.99890995,0.58738744,0.68408966,3.5257616,3.7475102,2.7961195,2.3272896,2.2686663
197,1.5215507,1.5035706,0.9994854,0.58788973,0.6844276,3.525622,3.7473638,2.7959814,2.3271213,2.2685003
198,1.5232761,1.5048047,1.0000608,0.588392,0.6847655,3.5254827,3.7472174,2.7958436,2.326953,2.2683344
199,1.525002,1.506039,1.0006363,0.5888943,0.6851037,3.5253434,3.7470715,2.7957053,2.3267848,2.268169
200,1.5267277,1.5072734,1.0012116,0.5893966,0.6854417,3.5252037,3.7469256,2.7955668,2.3266172,2.2680025
201,1.5284531,1.5085081,1.0017872,0.58989894,0.6857797,3.5250645,3.7467792,2.7954283,2.3264492,2.267837
202,1.5301785,1.5097425,1.0023625,0.59040105,0.6861177,3.5249252,3.7466338,2.7952907,2.3262808,2.2676713
203,1.531904,1.5109764,1.0029383,0.5909034,0.68645585,3.524786,3.7464871,2.7951522,2.3261127,2.2675054
204,1.5336297,1.5122108,1.0035136,0.5914056,0.68679374,3.5246463,3.7463417,2.7950141,2.325945,2.2673395
205,1.5353556,1.513445,1.0040889,0.591908,0.68713164,3.524507,3.7461948,2.7948756,2.3257768,2.2671735
206,1.537081,1.5146792,1.0046644,0.5924102,0.68746984,3.5243673,3.7460492,2.7947373,2.3256087,2.2670078
207,1.5388064,1.5159138,1.0052401,0.59291244,0.68780774,3.5242286,3.7459028,2.7945995,2.3254414,2.266842
208,1.5405347,1.5171487,1.0058143,0.59341425,0.6881456,3.5240884,3.7457569,2.7944593,2.3252716,2.2666755
209,1.5422652,1.5183837,1.0063877,0.5939158,0.688483,3.5239482,3.7456095,2.7943192,2.3251014,2.2665088
210,1.5439954,1.519619,1.0069613,0.5944175,0.68882054,3.5238085,3.7454617,2.7941778,2.3249314,2.2663417
211,1.5457263,1.5208542,1.0075347,0.59491897,0.68915826,3.5236683,3.7453141,2.7940369,2.3247616,2.266175
212,1.5474567,1.5220864,1.0081046,0.5954181,0.6894974,3.5235257,3.745165,2.7938929,2.3245919,2.2660086
213,1.5491872,1.523319,1.0086746,0.5959172,0.68983656,3.5233846,3.7450159,2.793748,2.3244221,2.2658415
214,1.5509179,1.5245513,1.0092447,0.5964165,0.69017583,3.523242,3.7448661,2.7936037,2.3242524,2.265675
215,1.5526483,1.5257834,1.0098145,0.59691554,0.69051504,3.5231004,3.7447171,2.793459,2.3240821,2.2655082
216,1.5543795,1.5270157,1.0103848,0.59741485,0.6908543,3.5229578,3.7445676,2.7933145,2.3239124,2.2653415
217,1.5561101,1.5282483,1.0109549,0.59791404,0.6911936,3.5228157,3.744418,2.7931705,2.3237429,2.2651746
218,1.5578406,1.5294803,1.0115247,0.59841305,0.6915328,3.5226736,3.7442687,2.7930253,2.3235726,2.2650077
219,1.559571,1.5307125,1.0120947,0.59891224,0.69187206,3.522532,3.7441194,2.792881,2.3234034,2.2648406
220,1.5613022,1.531945,1.0126648,0.59941155,0.6922113,3.52239,3.7439697,2.7927363,2.3232336,2.264674
221,1.5630324,1.5331774,1.0132349,0.5999106,0.6925505,3.5222473,3.743821,2.792592,2.3230634,2.2645073
222,1.5647631,1.5344101,1.0138048,0.60041,0.69288975,3.5221052,3.7436717,2.792447,2.3228934,2.2643404
223,1.5664935,1.5356424,1.0143747,0.600909,0.69322896,3.5219636,3.7435215,2.7923026,2.3227239,2.2641735
224,1.5682285,1.5368785,1.0149462,0.6014079,0.69356686,3.5218225,3.7433734,2.7921593,2.322553,2.264009
225,1.5699646,1.538116,1.015518,0.60190654,0.69390434,3.5216808,3.7432234,2.7920148,2.3223822,2.263844
226,1.571701,1.5393531,1.0160897,0.6024053,0.6942421,3.5215397,3.7430751,2.7918713,2.322211,2.2636795
227,1.5734372,1.5405905,1.0166615,0.6029041,0.69457954,3.5213985,3.7429254,2.7917278,2.3220396,2.2635148
228,1.5751729,1.5418283,1.0172331,0.6034027,0.69491714,3.5212564,3.742776,2.7915838,2.3218687,2.2633502
